well,treatment,microbe
A1, 1/8,S17-1
A2,Control,S17-1
A3, 1/4,SCC477
A4,Streptomycin,DC3000
A5,Control,S17-1
A6, 1/2,DC3000
A7, 1/8,SCC477
A8, 1/2,S17-1
A9, 1/2,SCC477
A10, 1/8,SCC477
A11, 1/4,DC3000
A12, 1/4,DC3000
B1,Control,DC3000
B2, 1/8,2698B
B3, 1/8,DC3000
B4,Streptomycin,S17-1
B5, 1/4,SCC477
B6,Control,2698B
B7, 1/8,SCC477
B8,Streptomycin,DC3000
B9, 1/4,DC3000
B10,Control,SCC477
B11,Control,S17-1
B12, 1/8,DC3000
C1,Control,S17-1
C2,Control,SCC477
C3, 1/4,2698B
C4, 1/8,S17-1
C5, 1/2,SCC477
C6, 1/4,SCC477
C7,Streptomycin,S17-1
C8, 1/8,2698B
C9, 1/4,S17-1
C10,Streptomycin,SCC477
C11,Streptomycin,S17-1
C12,Control,SCC477
D1, 1/8,DC3000
D2, 1/4,S17-1
D3, 1/2,2698B
D4, 1/2,2698B
D5,Streptomycin,SCC477
D6, 1/8,DC3000
D7,Streptomycin,2698B
D8, 1/8,S17-1
D9, 1/8,2698B
D10, 1/2,2698B
D11, 1/4,S17-1
D12,Control,SCC477
E1, 1/8,DC3000
E2, 1/4,2698B
E3, 1/4,2698B
E4,Streptomycin,SCC477
E5,Control,DC3000
E6, 1/8,S17-1
E7,Streptomycin,DC3000
E8, 1/2,2698B
E9, 1/2,DC3000
E10,Streptomycin,SCC477
E11, 1/8,SCC477
E12,Control,DC3000
F1,Control,2698B
F2,Control,2698B
F3,Control,2698B
F4, 1/4,DC3000
F5, 1/2,DC3000
F6,Streptomycin,DC3000
F7, 1/2,SCC477
F8, 1/2,DC3000
F9, 1/2,S17-1
F10, 1/8,S17-1
F11, 1/2,DC3000
F12, 1/4,2698B
G1,Streptomycin,2698B
G2,Control,DC3000
G3, 1/2,SCC477
G4, 1/2,S17-1
G5,Streptomycin,S17-1
G6, 1/4,SCC477
G7, 1/4,SCC477
G8, 1/8,SCC477
G9,Control,SCC477
G10, 1/2,S17-1
G11, 1/2,S17-1
G12, 1/4,S17-1
H1, 1/4,S17-1
H2, 1/2,SCC477
H3,Control,S17-1
H4, 1/8,2698B
H5,Streptomycin,2698B
H6,Streptomycin,2698B
H7,Streptomycin,S17-1
H8,Streptomycin,SCC477
H9,Control,DC3000
H10,Streptomycin,DC3000
H11, 1/4,DC3000
H12,,
