well,treatment,microbe
A1,Low,S17-1
A2,Control,S17-1
A3,Medium,SCC477
A4,Streptomycin,DC3000
A5,Control,S17-1
A6,High,DC3000
A7,Low,SCC477
A8,High,S17-1
A9,High,SCC477
A10,Low,SCC477
A11,Medium,DC3000
A12,Medium,DC3000
B1,Control,DC3000
B2,Low,2698B
B3,Low,DC3000
B4,Streptomycin,S17-1
B5,Medium,SCC477
B6,Control,2698B
B7,Low,SCC477
B8,Streptomycin,DC3000
B9,Medium,DC3000
B10,Control,SCC477
B11,Control,S17-1
B12,Low,DC3000
C1,Control,S17-1
C2,Control,SCC477
C3,Medium,2698B
C4,Low,S17-1
C5,High,SCC477
C6,Medium,SCC477
C7,Streptomycin,S17-1
C8,Low,2698B
C9,Medium,S17-1
C10,Streptomycin,SCC477
C11,Streptomycin,S17-1
C12,Control,SCC477
D1,Low,DC3000
D2,Medium,S17-1
D3,High,2698B
D4,High,2698B
D5,Streptomycin,SCC477
D6,Low,DC3000
D7,Streptomycin,2698B
D8,Low,S17-1
D9,Low,2698B
D10,High,2698B
D11,Medium,S17-1
D12,Control,SCC477
E1,Low,DC3000
E2,Medium,2698B
E3,Medium,2698B
E4,Streptomycin,SCC477
E5,Control,DC3000
E6,Low,S17-1
E7,Streptomycin,DC3000
E8,High,2698B
E9,High,DC3000
E10,Streptomycin,SCC477
E11,Low,SCC477
E12,Control,DC3000
F1,Control,2698B
F2,Control,2698B
F3,Control,2698B
F4,Medium,DC3000
F5,High,DC3000
F6,Streptomycin,DC3000
F7,High,SCC477
F8,High,DC3000
F9,High,S17-1
F10,Low,S17-1
F11,High,DC3000
F12,Medium,2698B
G1,Streptomycin,2698B
G2,Control,DC3000
G3,High,SCC477
G4,High,S17-1
G5,Streptomycin,S17-1
G6,Medium,SCC477
G7,Medium,SCC477
G8,Low,SCC477
G9,Control,SCC477
G10,High,S17-1
G11,High,S17-1
G12,Medium,S17-1
H1,Medium,S17-1
H2,High,SCC477
H3,Control,S17-1
H4,Low,2698B
H5,Streptomycin,2698B
H6,Streptomycin,2698B
H7,Streptomycin,S17-1
H8,Streptomycin,SCC477
H9,Control,DC3000
H10,Streptomycin,DC3000
H11,Medium,DC3000
H12,,
