Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:10,0.09,0.093,0.092,0.092,0.09,0.092,0.091,0.092,0.087,0.089,0.087,0.087,0.095,0.141,0.771,0.093,0.779,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.094,0.948,0.093,0.746,0.093,0.493,0.135,0.091,0.088,0.089,0.088,0.087,0.096,0.093,1.112,0.147,0.697,0.139,0.644,0.092,0.09,0.089,0.09,0.088,0.094,0.093,0.173,0.094,0.152,0.091,0.146,0.095,0.089,0.091,0.09,0.088,0.094,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.088,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.093,0.087,0.085
0:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.141,0.775,0.093,0.77,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.094,0.915,0.093,0.71,0.093,0.488,0.138,0.091,0.088,0.089,0.088,0.087,0.095,0.093,1.103,0.145,0.724,0.141,0.654,0.092,0.09,0.089,0.09,0.088,0.093,0.093,0.148,0.094,0.147,0.091,0.15,0.095,0.089,0.091,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
0:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.139,0.661,0.093,0.769,0.141,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.906,0.093,0.704,0.093,0.499,0.137,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.071,0.143,0.702,0.137,0.637,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.143,0.094,0.143,0.091,0.146,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
0:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.137,0.646,0.093,0.718,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.885,0.093,0.677,0.093,0.492,0.136,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.067,0.143,0.695,0.149,0.671,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.14,0.09,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.087,0.089,0.086,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.137,0.646,0.093,0.726,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.883,0.093,0.66,0.093,0.568,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.046,0.144,0.662,0.134,0.683,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.142,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.633,0.093,0.727,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.901,0.093,0.643,0.093,0.513,0.141,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.041,0.142,0.663,0.135,0.685,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.139,0.094,0.141,0.091,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.613,0.093,0.69,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.865,0.093,0.723,0.093,0.507,0.141,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.052,0.148,0.646,0.135,0.689,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.141,0.091,0.142,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.086,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.088,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
1:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.63,0.093,0.679,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.855,0.093,0.639,0.093,0.484,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.063,0.141,0.668,0.134,0.694,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.141,0.09,0.142,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.088,0.085,0.087,0.089,0.086,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.145,0.638,0.093,0.65,0.144,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.857,0.093,0.637,0.093,0.522,0.14,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.074,0.142,0.668,0.135,0.656,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.141,0.094,0.141,0.09,0.143,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.136,0.624,0.093,0.662,0.143,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.864,0.093,0.633,0.093,0.494,0.14,0.091,0.088,0.088,0.088,0.087,0.095,0.092,1.064,0.14,0.647,0.135,0.686,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.142,0.091,0.143,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
