Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:10,0.485,0.499,0.482,0.526,0.103,0.442,0.187,0.106,0.213,0.108,0.422,0.107,0.459,0.108,0.479,0.106,0.458,0.215,0.107,0.113,0.187,0.105,0.105,0.104,0.163,0.188,0.475,0.183,0.221,0.106,0.106,0.108,0.169,0.194,0.411,0.421,0.157,0.107,0.109,0.481,0.167,0.462,0.16,0.205,0.149,0.444,0.452,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.089,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
0:29:10,0.461,0.467,0.448,0.442,0.104,0.44,0.186,0.107,0.214,0.109,0.4,0.104,0.455,0.106,0.461,0.106,0.431,0.218,0.106,0.113,0.186,0.105,0.105,0.104,0.162,0.186,0.472,0.183,0.229,0.107,0.106,0.109,0.171,0.167,0.387,0.393,0.157,0.107,0.109,0.451,0.168,0.433,0.162,0.205,0.147,0.432,0.42,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
0:44:10,0.404,0.445,0.417,0.421,0.104,0.406,0.186,0.107,0.214,0.108,0.38,0.104,0.41,0.107,0.417,0.106,0.379,0.22,0.106,0.113,0.187,0.105,0.105,0.104,0.162,0.185,0.441,0.183,0.236,0.107,0.106,0.11,0.162,0.168,0.374,0.384,0.157,0.107,0.11,0.449,0.169,0.417,0.162,0.204,0.149,0.427,0.421,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.087,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
0:59:10,0.396,0.438,0.386,0.387,0.104,0.392,0.187,0.107,0.214,0.108,0.341,0.105,0.395,0.107,0.391,0.106,0.362,0.224,0.107,0.113,0.187,0.106,0.105,0.104,0.161,0.187,0.413,0.184,0.243,0.108,0.106,0.111,0.162,0.169,0.368,0.376,0.157,0.107,0.11,0.419,0.169,0.404,0.161,0.204,0.149,0.441,0.41,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
1:14:10,0.406,0.44,0.385,0.379,0.105,0.398,0.187,0.109,0.216,0.109,0.336,0.105,0.39,0.108,0.378,0.107,0.356,0.227,0.107,0.113,0.187,0.107,0.106,0.105,0.165,0.19,0.415,0.184,0.248,0.109,0.107,0.112,0.162,0.169,0.373,0.382,0.157,0.108,0.111,0.39,0.171,0.38,0.162,0.204,0.149,0.451,0.413,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.088,0.088,0.088,0.087,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
1:29:10,0.419,0.453,0.408,0.392,0.105,0.402,0.188,0.11,0.219,0.11,0.344,0.106,0.381,0.109,0.403,0.108,0.363,0.226,0.108,0.114,0.188,0.108,0.107,0.105,0.163,0.19,0.431,0.184,0.252,0.11,0.108,0.113,0.162,0.17,0.361,0.381,0.158,0.109,0.111,0.386,0.17,0.382,0.163,0.205,0.148,0.429,0.408,0.133,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.088,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.088,0.093,0.087,0.091,0.089,0.086
1:44:10,0.438,0.422,0.414,0.376,0.106,0.406,0.189,0.111,0.218,0.11,0.356,0.107,0.396,0.111,0.384,0.108,0.364,0.228,0.109,0.115,0.188,0.109,0.108,0.106,0.165,0.191,0.433,0.186,0.255,0.111,0.109,0.114,0.163,0.17,0.361,0.388,0.158,0.11,0.112,0.381,0.172,0.361,0.164,0.204,0.149,0.421,0.398,0.134,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.088,0.088,0.088,0.087,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.086,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
1:59:10,0.41,0.456,0.41,0.382,0.107,0.398,0.189,0.113,0.219,0.111,0.36,0.108,0.383,0.112,0.382,0.11,0.352,0.229,0.11,0.116,0.189,0.11,0.11,0.108,0.176,0.192,0.422,0.187,0.258,0.113,0.111,0.116,0.162,0.17,0.361,0.381,0.159,0.111,0.113,0.382,0.173,0.362,0.165,0.205,0.149,0.422,0.405,0.134,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
2:14:10,0.407,0.455,0.41,0.391,0.109,0.403,0.19,0.115,0.222,0.112,0.36,0.11,0.388,0.114,0.385,0.112,0.363,0.23,0.112,0.117,0.189,0.112,0.111,0.109,0.18,0.195,0.419,0.188,0.262,0.115,0.113,0.118,0.164,0.171,0.36,0.376,0.159,0.113,0.115,0.385,0.172,0.353,0.166,0.207,0.15,0.409,0.398,0.135,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.088,0.089,0.088,0.088,0.088,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.086,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.088,0.093,0.087,0.091,0.089,0.086
2:29:10,0.437,0.465,0.408,0.39,0.111,0.405,0.191,0.116,0.223,0.114,0.356,0.111,0.404,0.116,0.385,0.113,0.36,0.231,0.114,0.119,0.189,0.113,0.113,0.111,0.18,0.195,0.408,0.189,0.266,0.117,0.115,0.119,0.165,0.171,0.362,0.375,0.16,0.115,0.117,0.382,0.174,0.362,0.168,0.207,0.15,0.414,0.4,0.136,0.088,0.087,0.088,0.088,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.086,0.088,0.089,0.087,0.088,0.088,0.088,0.087,0.087,0.088,0.089,0.088,0.087,0.086,0.088,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.088,0.089,0.088,0.089,0.09,0.089,0.088,0.088,0.087,0.093,0.087,0.091,0.089,0.086
