"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"17","sternal","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00272905763173834,303.959491842674,1.09956226152953,959.360885662684,4.81062506620698e-05,3.67832724904832,0.00419934675160906,0.00264992284939923,0.00280819241407744,297.908643517989,310.010340167358,1.09265433612313,1.10647018693593,0.00263476938044068,0.00282334588303599,296.749970434539,311.169013250809,1.09133154189638,1.10779298116269,0.00318656797579837,309.240166669634,1.10221802741098,958.599048267658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","dufours","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00194333366515192,593.063609364803,1.00058693767897,534.69822070976,2.18082411119266e-05,3.10099651869196,0.00677730062248054,0.0019074591085228,0.00197920822178104,587.962470091555,598.164748638051,0.989438278154992,1.01173559720295,0.00190058951257254,0.00198607781773129,586.985656188167,599.141562541439,0.987303428458911,1.01387044689903,0.00299867512213589,673.183783713437,0.952352729661344,534.239486772896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","control","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00166124263973147,606.185126247314,1.51287172628355,540.01803991921,8.37883655056107e-06,1.91803819703995,0.0187661521798817,0.0016474594536058,0.00167502582585715,603.029953413183,609.340299081444,1.48200140594765,1.54374204661946,0.00164482012009237,0.00167766515937057,602.425771381115,609.944481113512,1.47609006801098,1.54965338455612,0.00176323422153307,618.631480308313,1.19465563608944,539.435785369262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","dufours","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00172501974542709,599.05591933002,0.989843167168021,513.958292542674,3.34806719564433e-05,6.33940758709599,0.0121784319670144,0.00166994404005874,0.00178009545079544,588.627593849247,609.484244810793,0.969809646582283,1.00987668775376,0.00165939762839246,0.00179064186246172,586.630680459312,611.481158200728,0.965973440512673,1.01371289382337,0.00225210627771788,662.439842357762,0.928414466037211,511.140783454351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","sternal","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00316641630570852,312.225469907461,0.962142375096724,886.598953919309,0.000156904159166471,8.00152461226489,0.00796146654994363,0.00290830896387968,0.00342452364753737,299.062961920285,325.387977894636,0.949045762622067,0.975238987571381,0.00285888415374224,0.00347394845767481,296.542481667422,327.9084581475,0.946537900658835,0.977746849534614,0.00365678629533558,316.800986889079,1.03530510161073,887.454381489803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","control","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00170832568296934,625.951298338941,1.4974840696792,521.322422611707,8.70077027760941e-06,1.76551908266346,0.0135646508191089,0.00169401291586267,0.001722638450076,623.047019447959,628.855577229922,1.47517021908176,1.51979792027663,0.00169127217322522,0.00172537919271345,622.49088093692,629.411715740961,1.47089735407374,1.52407078528465,0.00189206260048005,649.840082298602,1.18995975318276,521.576905723668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","dufours","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00131517563397705,576.601833676638,1.07073902375307,438.306206437364,1.73948842792065e-05,4.32589219245654,0.017392980406885,0.00128656104933776,0.00134379021861635,569.485741020047,583.717926333229,1.04212757098374,1.09935047652239,0.00128108166078981,0.0013492696071643,568.123084979423,585.080582373853,1.03664878215557,1.10482926535056,0.00195435925053104,672.728336114988,0.866081938644362,437.622070696019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","control","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00167947031782094,609.930321934989,1.43689630587817,535.708548942777,1.41089607635122e-05,3.11579643057471,0.0253912934227168,0.00165626107736496,0.00170267955827692,604.804836806693,615.055807063284,1.3951276281978,1.47866498355854,0.00165181675472446,0.00170712388091743,603.823360931062,616.037282938915,1.38712937076964,1.48666324098669,0.00208791631918453,649.092189841714,1.18554693464629,535.556658934058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","dufours","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00145429612213651,542.643812608192,1.14368677971855,513.509938228806,2.45473244640678e-05,5.43786746433196,0.0196286465449744,0.00141391577339312,0.0014946764708799,533.698520629365,551.589104587018,1.11139765615207,1.17597590328503,0.00140618336618693,0.00150240887808608,531.985592378101,553.302032838282,1.1052146324904,1.1821589269467,0.00261481517244554,588.821569315069,0.959152939489647,511.399958675435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","control","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00164485756325437,638.438490038127,1.42504952423969,499.004374133122,1.55336859762745e-05,3.53745026715544,0.0317603455795446,0.0016193046498234,0.00167041047668535,632.619384348656,644.257595727598,1.37280375576134,1.47729529271804,0.00161441153874088,0.00167530358776787,631.505087514503,645.371892561752,1.36279924690378,1.4872998015756,0.00195292197465604,668.247183252842,1.15123809036173,498.46374604751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","dufours","s17-1","16aug2022",TRUE,"logistic",FALSE,FALSE,0,0.00186557443711498,610.622754583958,1.15849250366785,573.39863076667,2.5132278601966e-05,4.34021661446107,0.00990379419137174,0.00182423183881475,0.00190691703541522,603.48309825317,617.762410914747,1.14220076222304,1.17478424511265,0.00181631517105513,0.00191483370317484,602.115930019615,619.129579148302,1.13908106705276,1.17790394028294,0.00200188289025385,649.884468579383,1.07936435912827,571.154307304211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","sternal","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00292561998805501,304.362343656841,1.12401532834477,992.359581865053,8.9089260074128e-05,6.09327707230905,0.00706063047750151,0.00277906815523307,0.00307217182087695,294.338902872893,314.385784440789,1.11240059120928,1.13563006548026,0.00275100503830972,0.0031002349378003,292.419520595115,316.305166718567,1.11017649260887,1.13785416408067,0.0034448257551296,308.260344009142,1.15488563505624,993.448446348097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","control","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00169632894082169,612.150647556855,1.45027792877961,540.231433527122,1.49040034011198e-05,3.27598607755875,0.0267653073860938,0.00167181185522685,0.00172084602641653,606.761650459271,617.53964465444,1.40624899812949,1.49430685942974,0.0016671170941555,0.00172554078748789,605.72971484484,618.571580268871,1.39781792630287,1.50273793125636,0.00202376705331129,646.917625600614,1.19374853733559,539.863896944994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","dufours","s17-1","16aug2022",TRUE,"logistic",FALSE,FALSE,0,0.0013685956077991,627.170565963267,0.831522570604515,403.311211872191,2.80643773917229e-05,6.46495929141617,0.0107904730046155,0.00132242970698972,0.00141476150860849,616.535707928888,637.805423997647,0.813772242511923,0.849272898697108,0.00131358942811133,0.00142360178748688,614.499245752092,639.841886174443,0.810373243515469,0.852671897693562,0.00205320515019245,615.457603317471,0.767325329625676,399.862349607338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","sternal","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00275710526180947,310.616167678378,0.796750559955049,742.347405984751,0.000102851751387979,5.74781629389184,0.00475302738225445,0.00258791413077624,0.00292629639284269,301.161009874926,320.07132548183,0.78893182991124,0.804569289998857,0.00255551582908903,0.00295869469452991,299.35044774235,321.881887614406,0.78743462628583,0.806066493624267,0.00303669111240215,315.799208610208,0.829321592339597,742.958164632069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","dufours","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00100103880007457,504.145641930003,1.31466338238215,428.626263538508,7.42248925359387e-06,4.28118644484706,0.0350244754060442,0.000988828805252408,0.00101324879489673,497.103090228229,511.188193631776,1.25704812033921,1.37227864442509,0.000986490721137526,0.00101558687901161,495.754516498103,512.536767361903,1.2460154105863,1.383311354178,0.00141399766281257,12.3108636420301,0.827304142489697,428.32691201148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","sternal","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00287532283099793,309.79602551499,1.0534506381729,935.176652780845,0.0001072412786741,7.14963707686773,0.00776725020724615,0.00269891092757903,0.00305173473441682,298.034872523542,321.557178506437,1.04067351158198,1.06622776476382,0.00266512992479669,0.00308551573719916,295.782736844329,323.809314185651,1.0382268277667,1.0686744485791,0.00348445782014851,315.182217809352,1.09682046408767,936.302641200317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","dufours","s17-1","16aug2022",TRUE,"richards",FALSE,FALSE,0,0.00145106503377373,677.230376883759,0.848420274460283,453.792593077773,2.9722740244117e-05,8.87661822306519,0.00648514788818673,0.00140217112607216,0.0014999589414753,662.628339906817,691.832413860701,0.837752206184216,0.85908834273635,0.00139280846289526,0.0015093216046522,659.832205166551,694.628548600967,0.835709384599437,0.861131164321129,0.00156858259630689,701.650914804293,0.848268906860197,453.263170263882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","control","s17-1","16aug2022",TRUE,"gompertz",FALSE,FALSE,0,0.00168126116611248,612.418216064337,1.48206832941176,529.534856296344,1.0395103659792e-05,2.15503789462184,0.0157758357962528,0.00166416122059212,0.00169836111163284,608.873178727684,615.96325340099,1.45611707952693,1.5080195792966,0.00166088676293929,0.00170163556928567,608.194341790878,616.642090337795,1.45114769125111,1.51298896757242,0.00239671876311878,670.253956065121,1.19088858017974,529.241353711098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
