"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","LB","S17-1","27june2022",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LB","S17-1","27june2022",TRUE,"gompertz",FALSE,FALSE,0,0.000373492962794755,17.6259416984835,0.00201052648886221,2.88735593544738,0.00688002635209465,227.399974558778,1.05264323447437e-05,-0.0109441503864009,0.0116911363119905,-356.447016450707,391.698899847674,0.0019932105076551,0.00202784247006931,-0.0131113586873108,0.0138583446129003,-428.078008436722,463.329891833689,0.00198989468146651,0.0020311582962579,0.000149699093282081,14.4817559010266,0.00266582508845074,2.88222491994699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","sternal","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00370639672540324,832.681224491045,1.54801069339596,674.300722287026,5.53052283354187e-05,4.00529233003908,0.00952155767879612,0.00361541962479147,0.003797373826015,826.092518608131,839.269930373959,1.53234773101434,1.56367365577758,0.00359799847786582,0.00381479497294066,824.830851524169,840.531597457922,1.52934844034552,1.5666729464464,0.00393136298969718,852.398824188996,1.54738039282201,683.977005479668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","cent","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00138435297689873,481.139166215051,1.71632676287754,687.227130807752,2.08939088461557e-05,7.67431048228339,0.0906815800630303,0.00134998249684681,0.00141872345695066,468.514925471695,493.763406958407,1.56715556367385,1.86549796208122,0.00134340091556027,0.0014253050382372,466.097517669776,496.180814760327,1.538590865954,1.89406265980108,0.00172326575188075,608.60327779637,1.22606065635881,687.238571885428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","control","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00184537466709703,621.355143026782,1.49529664764932,624.581300038439,7.98978633129489e-06,1.60294765171709,0.0106966125632606,0.00183223146858205,0.00185851786561201,618.718294139707,623.991991913856,1.47770071998275,1.51289257531588,0.00182971468588769,0.00186103464830637,618.213365629416,624.496920424147,1.47433128702532,1.51626200827331,0.0020411785695942,639.233534872123,1.27043577962348,624.15508026898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","cent","S17-1","27june2022",TRUE,"gompertz",FALSE,FALSE,0,0.00135894068591002,423.761108465824,1.57003696094192,717.681199633047,8.60720031703724e-06,2.89404675533479,0.0179060911236443,0.00134478184138849,0.00137309953043154,419.000401553298,428.52181537835,1.54058144104353,1.59949248084032,0.00134207057328862,0.00137581079853141,418.088776825368,429.43344010628,1.53494102233958,1.60513289954427,0.00188342947556516,476.111247206038,1.21796702278333,718.052864238534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","control","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.001995703185085,628.383202739042,1.41294659198468,637.590382238875,9.78141373655927e-06,1.67800612381567,0.00854605780301,0.00197961275948836,0.00201179361068164,625.622882665365,631.143522812718,1.39888832689873,1.42700485707063,0.00197653161416135,0.00201487475600866,625.094310736363,631.67209474172,1.39619631869078,1.42969686527858,0.0022368744550527,646.822958235828,1.26401986364307,637.252451277206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","filter","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00147839774505145,486.157945722269,1.31115206309382,674.292462951273,1.11923394729383e-05,3.26059840820829,0.0135019691544497,0.00145998634661846,0.00149680914348443,480.794261340766,491.521630103771,1.28894132383475,1.33336280235289,0.00145646075968449,0.00150033473041841,479.767172842181,492.548718602357,1.2846882035511,1.33761592263654,0.00171825921395543,504.812001898589,1.16541758758543,674.304106870379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","sternal","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00256088931168501,703.410263563571,1.75182139210145,694.6114412011,4.19767480186764e-05,5.35014899568181,0.0396616766219048,0.00249183756119428,0.00262994106217573,694.609268465674,712.211258661467,1.68657793405841,1.81706485014448,0.0024786148855684,0.00264316373780161,692.923971532034,713.896555595107,1.67408450592251,1.82955827828038,0.00319941556455747,811.957629362609,1.49253642830033,694.510617648296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","dufours","S17-1","27june2022",TRUE,"gompertz",FALSE,FALSE,0,0.00133646615650897,738.788798066317,0.844523348273879,318.973516857695,1.95954704703162e-05,3.82880281350129,0.0117290047009863,0.0013042316075853,0.00136870070543264,732.490417438107,745.087178694527,0.825229135540757,0.863817561007001,0.00129805903438715,0.00137487327863079,731.284344551855,746.29325158078,0.821534499059946,0.867512197487812,0.00337574334941106,725.606328101143,0.731645736933877,317.958068528119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
