"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"13","LB","S17-1","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00167061886765923,662.108255595859,1.57116899206112,510.317054959976,5.78568227665229e-06,1.30318643131805,0.0121600152859059,0.00166110142031414,0.00168013631500432,659.964513916341,664.251997275377,1.5511657669158,1.59117221720643,0.00165927893039699,0.00168195880492147,659.554010190475,664.662501001242,1.54733536210074,1.59500262202149,0.0019768659561942,692.957799539736,1.17710156214581,509.786614254405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00332219945931845,263.756360584337,1.67974472464524,1484.52474198569,3.39519115417891e-05,2.61071996122399,0.00450226798182701,0.00326634856483221,0.00337805035380469,259.461726248123,268.05099492055,1.67233849381513,1.68715095547534,0.00325565371269654,0.00338874520594036,258.639349460337,268.873371708336,1.67092027940085,1.68856916988962,0.00392773644169624,263.004752433834,1.69606986715379,1482.68763618991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00255540089337237,588.360423052665,1.45900077913747,814.240010491298,4.41254106164382e-05,5.6448774546398,0.0144452858200417,0.00248281459290833,0.00262798719383641,579.074599639783,597.646246465548,1.4352382839635,1.48276327431144,0.00246891508856415,0.00264188669818059,577.296463241571,599.424382863759,1.43068801893019,1.48731353934475,0.00486747731294999,795.205978465047,1.3887181682079,811.364087459556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.0026666997104196,194.864852448718,1.56993861796129,1421.35503610753,3.83325412242382e-05,4.19809839443283,0.00670874340244873,0.00260364268010573,0.00272975674073347,187.958980589876,201.77072430756,1.55890273506426,1.58097450085832,0.0025915679296201,0.00274183149121911,186.63657959563,203.093125301807,1.55678948089249,1.58308775503009,0.0054718214097964,248.335222754066,1.56860601830879,1419.89037906593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00320375774694804,275.772968041129,1.67606119215884,1444.61676801247,3.70016642420617e-05,3.02817051460613,0.00537258525825439,0.00314289000926985,0.00326462548462624,270.791627544602,280.754308537656,1.66722328940901,1.68489909490867,0.0031312344850336,0.00327628100886249,269.837753832501,281.708182249757,1.66553092505266,1.68659145926502,0.00356997995480796,321.723724722971,1.68965513834265,1442.98463814225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00233903349837874,546.219179958503,1.41423582118883,805.025950446526,2.18084933333402e-05,3.05448360368515,0.00882048642804361,0.0023031585268454,0.00237490846991208,541.194554430441,551.243805486565,1.3997261210147,1.42874552136296,0.00229628885144539,0.00238177814531209,540.23239209528,552.205967821726,1.39694766778987,1.4315239745878,0.00353978756857547,612.326532627211,1.37873173952066,807.095863664188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00235078724513683,186.914878556276,1.55419412552379,1357.01938263917,3.6461988810966e-05,4.96156859985431,0.00840523912515363,0.00229080727354279,0.00241076721673087,178.753098209516,195.076658903036,1.54036750716291,1.56802074388466,0.00227932174706734,0.00242225274320633,177.190204100562,196.63955301199,1.53771985683849,1.57066839420909,0.00515753583745431,247.700321085622,1.54977936426058,1355.22395861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","LB","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00173846674643841,735.243618832111,1.01034236521083,513.646687678819,0.000217815143931853,53.3258411006926,0.0543372566863419,0.00138016083467051,0.00209677265820631,647.522610221472,822.964627442751,0.920957577961796,1.09972715245986,0.00131154906433198,0.00216538442854484,630.724970274754,839.762267389469,0.903841342105599,1.11684338831606,0.00201150063093696,14.4570853259163,1.02176852987184,532.174814382723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","LB","S17-1","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00155092689426304,592.45897466541,1.52508235630484,557.583897713034,5.87191378287463e-06,1.47695356638392,0.0114591308348427,0.00154126759609021,0.00156058619243587,590.029386048709,594.888563282112,1.50623208608153,1.54393262652816,0.0015394179432486,0.00156243584527747,589.564145675298,595.353803655523,1.50262245986855,1.54754225274113,0.00169479359440319,610.34430282744,1.18670260845796,556.130201208562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00334491652230492,264.498145976171,1.6882292323545,1491.63621343818,2.94083011720297e-05,2.24244778203749,0.00388725060282265,0.00329653986687693,0.0033932931777329,260.809319374719,268.186972577623,1.68183470511286,1.69462375959615,0.00328727625200774,0.00340255679260209,260.102948323378,268.893343628964,1.68061022117297,1.69584824353604,0.00379631401853693,257.343155181738,1.69289869878278,1490.67640545054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
