"treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"low sternal","s. mar","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00388652614766503,273.222252934392,1.62837555572819,3898.04505738955,0.000159376184669638,9.78050678940163,0.00727554226226695,0.00362435232388347,0.00414869997144658,257.133319265827,289.311186602958,1.61640728870676,1.64034382274962,0.00357414882571254,0.00419890346961752,254.052459627165,292.39204624162,1.61411549289415,1.64263561856223,0.00514711760462086,253.390822701567,1.72526361763014,3896.11945523942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low sternal","s. mar","a_wilkella",TRUE,"gompertz",FALSE,FALSE,0,0.00390733899797543,282.796981681355,1.61690388465176,3835.45592373297,0.00013736421522994,7.90607114467173,0.00630636094579143,0.00368137486392218,0.00413330313202868,269.79149464837,295.80246871434,1.60652992089593,1.62727784840759,0.00363810513612475,0.00417657285982611,267.301082237799,298.292881124912,1.60454341719801,1.62926435210551,0.00405218874608864,292.411812082492,1.69915324854244,3836.72993267272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","s. mar","a_wilkella",TRUE,"gompertz",FALSE,FALSE,0,0.00362008104449545,274.400289542817,1.57961064772817,3739.60242982827,9.7519052848069e-05,6.3804125128635,0.00487922430684987,0.00345966220256038,0.00378049988643053,263.904510959157,284.896068126477,1.5715843237434,1.58763697171294,0.00342894370091324,0.00381121838807767,261.894681017605,286.905898068029,1.57004736808674,1.5891739273696,0.00380656143692438,268.0746902174,1.63703043090105,3739.31924620146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low sternal","s. mar","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00365509520832178,267.139701843217,1.63348827938321,3890.27660793639,0.000129573986379161,8.80570535845511,0.00657913966451772,0.00344194600072806,0.0038682444159155,252.654316528559,281.625087157876,1.62266559463508,1.64431096413134,0.00340113019501862,0.00390906022162493,249.880519340645,284.398884345789,1.62059316564076,1.64638339312567,0.00523620826661389,254.921372501185,1.71960640766722,3888.20014978698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00267349122833544,500.300121282797,1.57835270911493,3312.60028526647,4.56323222744299e-05,5.72273866687564,0.00376432827727814,0.00259842605819401,0.00274855639847688,490.886216175786,509.714026389807,1.5721603890988,1.58454502913105,0.00258405187667756,0.00276293057999333,489.08355349572,511.516689069873,1.57097462569146,1.58573079253839,0.00319815224486866,572.180326476188,1.6262204129624,3307.77980618769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00266971761897748,509.976534765723,1.58411680448031,3307.04829676117,4.59499961938861e-05,5.79903244139924,0.00383581623916854,0.00259412987523854,0.00274530536271642,500.437126399621,519.515943131825,1.57780688676688,1.59042672219374,0.00257965562643746,0.00275977961151749,498.61043118058,521.342638350865,1.57659860465154,1.59163500430908,0.00284537596842454,532.368666870218,1.63364279400384,3302.14618049616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00246970291334175,590.114564772006,1.30815498057834,2677.81123319655,5.25955040067703e-05,7.26836450727993,0.00360169136016648,0.00238318330925061,0.00255622251743289,578.158105157531,602.071024386481,1.30223019829086,1.31407976286581,0.00236661572548848,0.00257279010119502,575.868570337737,604.360559206275,1.30109566551241,1.31521429564426,0.00297323794603297,655.590043862612,1.35084936326513,2671.91063725489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low sternal","s. mar","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00368974919415266,276.269002780415,1.60671711868305,3820.95062299959,0.000149667497879848,9.76326839480733,0.00728248178480895,0.00344354616014031,0.00393595222816501,260.208426270957,292.329579289873,1.59473743614704,1.61869680121906,0.00339640089830815,0.00398309748999716,257.132996726592,295.405008834237,1.59244345438483,1.62099078298128,0.00423553932754199,260.216761475555,1.69848900846917,3819.09278662098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","s. mar","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00398690748305526,264.254888704247,1.45999937739178,3549.3948779483,0.000165335058757307,8.60999968786921,0.00601370410025946,0.00371493131139949,0.00425888365471103,250.091439217702,278.418338190792,1.45010683414686,1.46989192063671,0.00366285076789094,0.00431096419821959,247.379289316023,281.130488092471,1.44821251735528,1.47178623742829,0.00660746045901654,263.333094486847,1.53924859649801,3547.29558316667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00410373907564797,316.005184350744,1.40801276548486,3389.2214974135,0.000211708154517042,10.1223274356337,0.00674957729771938,0.00375547916146744,0.00445199898982851,299.353955719127,332.656412982362,1.39690971083011,1.41911582013961,0.00368879109279457,0.00451868705850137,296.165422576902,335.844946124586,1.39478359398133,1.42124193698839,0.00436808640836544,270.803496172617,1.50508369484087,3385.50639557852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low sternal","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00248837609325403,444.619726884509,1.60176298968896,3385.63361732626,3.52209677585695e-05,5.4943035806019,0.00352597209314481,0.00243043760129118,0.00254631458521687,435.581597494418,453.657856274599,1.59596276559574,1.60756321378219,0.00241934299644723,0.00255740919006082,433.850891866529,455.388561902488,1.5948520843864,1.60867389499153,0.00268952270348034,488.187989789021,1.64163784389142,3381.64917122183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00392636658901415,311.604590666998,1.40134583214903,3369.54786653654,0.000252193608736162,13.1061785756637,0.00855624712297121,0.00351150810264316,0.00434122507538513,290.044926910031,333.164254423965,1.38727080563174,1.41542085866631,0.00343206711589127,0.00442066606213702,285.916480658697,337.292700675299,1.384575587788,1.41811607651005,0.00441629214292686,264.577194614258,1.53311525453412,3366.63152345971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low dufours","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00286307962061633,525.817229094367,1.47389862847657,3132.16830141315,6.99721325933019e-05,8.2682958916205,0.00431781386689574,0.00274797546250035,0.00297818377873231,512.215882352652,539.418575836083,1.46679582466553,1.48100143228761,0.00272593424073346,0.0030002250004992,509.611369146791,542.023089041944,1.46543571329745,1.48236154365568,0.00318485097825778,567.876045350268,1.53040376157878,3127.78243108278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low sternal","s. mar","a_wilkella",TRUE,"gompertz",FALSE,FALSE,0,0.00348775352263006,258.674271259006,1.61602292181637,3825.90684780808,0.00011554143443842,8.32000197917005,0.00636631914560507,0.00329768786297886,0.00367781918228126,244.987868003271,272.360674514741,1.60555032682184,1.62649551681089,0.00326129231113076,0.00371421473412937,242.367067379833,274.981475138179,1.60354493629098,1.62850090734175,0.00542840923660516,265.154543545236,1.69998469099527,3825.4406285449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00302900551695446,484.200275637597,1.43434704896406,3154.16134038131,0.000117046271277447,12.4690797932056,0.00572006081544386,0.00283646440070306,0.00322154663320586,463.688639377774,504.71191189742,1.42493754892266,1.44375654900547,0.00279959482525066,0.00325841620865825,459.760879242914,508.63967203228,1.42313572976579,1.44555836816233,0.00296087872705134,488.733348714878,1.56155917597808,3149.456271777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high sternal","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00209525252031237,403.610009331361,1.62724283241954,3373.54341346521,2.28323576552194e-05,4.9063313902232,0.00331978349507749,0.00205769329196954,0.00213281174865521,395.539094194444,411.680924468278,1.62178178857014,1.63270387626895,0.00205050109930814,0.0021400039413166,393.993599806524,413.226418856199,1.62073605676919,1.6337496080699,0.00236128860738994,506.606317613802,1.64617341906812,3368.94018406205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00282470029245731,523.430224467627,1.57916743209395,3314.87937277536,5.99501194825969e-05,7.64853720113423,0.00441377259507795,0.00272608234590844,0.00292331823900618,510.848380771762,536.012068163493,1.57190677617505,1.58642808801286,0.00270719805827142,0.0029422025266432,508.439091553404,538.42135738185,1.5705164378076,1.58781842638031,0.00361003758666406,610.196290998659,1.63709341586933,3309.92124268526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00264564565869789,497.944162948699,1.58239625310714,3318.60250574489,5.02925706709365e-05,6.45564778485137,0.00424055406497493,0.0025629143799442,0.00272837693745158,487.324622342618,508.563703554779,1.57542054167026,1.58937196454403,0.00254707222018285,0.00274421909721292,485.29109329039,510.597232607007,1.57408476713979,1.59070773907449,0.00302694610548283,555.638633080758,1.6386904025053,3314.77259341579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
