"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1"," 1/8","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.16849608611898,0.626503191752897,1.91556578178151,1.13707242027631,0.00865307394525286,0.00499332117901449,0.0306525217170782,1.15426177947904,1.18273039275892,0.618289178413418,0.634717205092376,1.86514238355691,1.9659891800061,1.15153606118628,1.18545611105167,0.616716282242028,0.636290101263765,1.85548683921603,1.97564472434698,1.18597457427919,0.488845160558507,1.509,1.13853134713105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2"," 1/8","SCC477","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.13882490478781,0.902202077858041,1.0973938682265,0.660896970804001,0.0425554728560198,0.0162827276174017,0.0282569159527968,1.06882115193966,1.20882865763596,0.875416990927416,0.928987164788667,1.05091124148415,1.14387649496885,1.05541617799001,1.22223363158561,0.870287931727934,0.934116223988149,1.04201031295902,1.15277742349398,1.3642092932024,1.06865878507596,0.931534161856114,0.649410006913355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3"," 1/4","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,60.08434167997,1.71302328089104,0.785433910817691,0.36025625504218,29.3200017646511,0.00200574836421156,0.0325184227914778,11.8529387771189,108.315744582821,1.70972382483191,1.71632273695017,0.73194110532571,0.838926716309672,2.61713822125381,117.551545138686,1.70909201409719,1.7169545476849,0.721697802146394,0.849170019488987,6.90915411733542,1.59173384046778,1.02779663268135,0.345292834015273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4"," 1/4","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,7.16117259223817,1.72637840203903,0.27603388133937,0.13419266012506,3.65353711632426,0.0135209658900127,0.0427495127411649,1.15110403588477,13.1712411485916,1.70413641314996,1.7486203909281,0.205710932880154,0.346356829798587,0.000239844242628351,14.3221053402337,1.69987730889461,1.75287949518346,0.192244836366687,0.359822926312054,1.46775006567087,1.51985261624041,0.444704439746015,0.134197296784664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","control","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.11509036622908,0.747332146481472,1.88353800868085,0.930185023777625,0.0185652393527621,0.0152472621816849,0.102640645391877,1.08455054749379,1.14563018496437,0.7222504001926,0.772413892770344,1.71469414701121,2.05238187035049,1.07870249709767,1.15147823536049,0.71744751260537,0.777216780357574,1.68236234371277,2.08471367364893,1.82285532521796,NA,1.28700806881668,0.932055297771265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6"," 1/4","SCC477","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,4.19714610394842,1.68226141883269,0.597791502517928,0.155017561825245,1.77937014910663,0.0395769265016574,0.0511514949210741,1.27008220866801,7.12420999922884,1.61715737473746,1.74736546292791,0.513647293372761,0.681935711663095,0.709580611699417,7.68471159619743,1.60469064288944,1.75983219477594,0.497534572472623,0.698048432563233,1.57655360126486,1.55505490176408,0.744806091684436,0.179217529543556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7"," +","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","control","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.16147375479668,0.787141154555198,2.02427631616192,0.919972255990472,0.0186165777715986,0.0165937200061461,0.125330907405178,1.1308494843624,1.19209802523096,0.759844485145088,0.814437823965308,1.8181069734804,2.23044565884343,1.12498526236435,1.19796224722901,0.754617463343152,0.819664845767244,1.77862773764777,2.26992489467607,2.34950174946607,1.24339487626712,1.28644330808062,0.913599669153711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9"," 1/2","DC3000","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,25.8201374879526,1.73549638219119,0.53543002676843,0.146987380362773,23.5140158551129,0.0153665341268759,0.0233809703400623,-12.8604185937082,64.5006935696133,1.71021843355248,1.7607743308299,0.496968330559027,0.573891722977832,-20.2673335880687,71.9076085639738,1.70537797530251,1.76561478907987,0.489603324901908,0.581256728634952,2.30341715944363,1.56468045396425,0.578013920554317,0.167899713019652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11"," 1/2","S17-1","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,15.7390858342754,1.73062915188157,0.348393943820734,0.522773520799092,15.6047131066646,0.0111604608317707,0.0622684671915982,-9.93066722618789,41.4088388947386,1.7122701938133,1.74898810994983,0.245962315290555,0.450825572350913,-14.8461518547872,46.3243235233379,1.70875464865129,1.75250365511184,0.226347748125202,0.470440139516267,2.12104987175642,1.40775218462614,0.809303552523463,0.542171790571827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
