"","treatment","microbe","gland","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","low","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.00220228959570271,915.498804455193,0.706032573373609,1314.05697537458,0.000164968946963336,17.581736633939,0.00386230152457398,0.00193091567794802,0.0024736635134574,886.576847692363,944.420761218023,0.699679087365685,0.712386059381533,0.00187895045965457,0.00252562873175085,881.038600652673,949.959008257713,0.698462462385444,0.713602684361774,0.00229505486654445,946.023612536794,0.761527416598578,1307.4085297874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","low","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00311065336398527,266.245966626226,1.78140330393915,4078.14878042922,4.78248552882731e-05,4.05109575707584,0.00349442080659394,0.00303198147703606,0.00318932525093448,259.581914105836,272.910019146616,1.7756549817123,1.78715162616599,0.00301691664762026,0.00320439008035029,258.305818942358,274.186114310095,1.77455423915822,1.78825236872007,0.00344319878562258,301.11522405615,1.81767029029708,4077.93956255075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","medium","Ecoli","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.000740079404114164,1376.02188042088,0.062330409228569,91.6326072674707,0.000492809208153901,30.8546300587106,0.00248002793880533,-7.05917432990042e-05,0.00155075055152733,1325.2660139743,1426.77774686746,0.0582507632692343,0.0664100551879038,-0.000225826643867483,0.00170598545209581,1315.54680550581,1436.49695533595,0.0574695544685106,0.0671912639886275,0.00104340555126664,1385.01927779367,0.122182282425629,92.1758086523359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","high","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00198518604381494,403.315858708539,0.749478044075182,1725.82904136181,0.000168035212103021,18.2581178738465,0.00638786502950173,0.00170876811990547,0.00226160396772441,373.281254806061,433.350462611016,0.738970006101651,0.759986082048712,0.00165583702809302,0.00231453505953686,367.5299476758,439.101769741278,0.736957828617358,0.761998259533005,0.0019499215171855,385.376411844084,0.837102863649141,1725.36916265378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","control","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00170617157597601,724.256189590556,1.156066963725,2117.46322711058,5.03369884971966e-05,11.2899547499245,0.00574484854860764,0.00162336722989812,0.0017889759220539,705.684214026931,742.828165154182,1.14661668786254,1.16551723958746,0.00160751107852151,0.00180483207343052,702.127878280704,746.384500900408,1.14480706056973,1.16732686688027,0.00251029493030261,810.857826173297,1.23587234344198,2111.58396740347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","control","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00295863754864593,306.452676948592,1.6124385502597,3704.98574195209,4.82491313547441e-05,5.22465819151124,0.00347338443979311,0.00287926772756737,0.00303800736972448,297.858114223556,315.047239673628,1.60672483285624,1.61815226766316,0.00286406925119063,0.00305320584610123,296.21234689323,316.693007003954,1.6056307167577,1.61924638376169,0.00354185624466918,361.222949454837,1.64818160609799,3701.8672691657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","low","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00310046342725435,285.359079068401,1.68346758251778,3885.42113851228,5.30527461877846e-05,5.08363900944691,0.00379790076677064,0.00301319165977544,0.00318773519473326,276.996492897861,293.721665238941,1.67722003575645,1.68971512927912,0.00299648004472629,0.00320444680978241,275.395146609885,295.323011526917,1.67602369701491,1.69091146802066,0.0036797074808341,337.655297722258,1.73146794229705,3883.8009108554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","control","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.00144793867434423,689.022955565281,1.20227785114214,2112.43798925742,2.81483670770806e-05,9.28551929207114,0.00545145029697634,0.00140163461050243,0.00149424273818603,673.748276329824,704.297634800738,1.19331021540362,1.21124548688067,0.00139276787487315,0.00150310947381531,670.823337752821,707.22257337774,1.19159300856007,1.21296269372422,0.00159037372342781,693.965150165429,1.26642147531418,2109.46073100793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","medium","Ecoli","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00110528548247791,1056.79833395013,0.250225370950804,427.095805107686,0.000124609625587935,13.9372056640425,0.00266605425951933,0.000900302648385756,0.00131026831657006,1033.87163063278,1079.72503726748,0.245839711693895,0.254611030207714,0.000861050616325556,0.00134952034863026,1029.48141084861,1084.11525705166,0.244999904602146,0.255450837299462,0.00145967875299464,1064.0743004656,0.296851674816657,427.471580164444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","high","Ecoli","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00110804451738583,337.213428276003,0.831573828369469,1764.9332663506,2.36213940103893e-05,8.46368102196884,0.00312504223585216,0.00106918732423874,0.00114690171053292,323.290672994864,351.136183557142,0.826433133891492,0.836714522847446,0.00106174658512546,0.00115434244964619,320.624613472944,353.802243079062,0.825448745587199,0.837698911151739,0.0014963339194299,383.384608729069,0.865618051707819,1762.88742706148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
