"treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"gland","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00285296635185521,551.587733434179,1.21176449850094,2483.008845482,5.50482218910522e-05,5.32854524141113,0.00259117186967802,0.00276241202684443,0.00294352067686599,542.822276512058,560.3531903563,1.20750202077532,1.21602697622656,0.00274507183694875,0.00296086086676167,541.143784761013,562.031682107345,1.20668580163637,1.21684319536551,0.00299911298768572,563.234975237058,1.25463085936158,2480.44964487214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.002690020754931,446.517349639306,1.54752523570246,3184.68261896082,2.65574194492947e-05,3.42902173496253,0.00223286992352822,0.00264633379993691,0.00273370770992509,440.876608885292,452.158090393319,1.54385216467826,1.55119830672667,0.00263796821281039,0.00274207329705162,439.796467038779,453.238232239832,1.54314881065235,1.55190166075258,0.00279298452148814,466.073354674374,1.58379232061211,3182.60091078552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00420634455170854,370.01321608468,1.26632084582653,2892.74591178635,0.000264171351755149,10.8176667895303,0.00707394531710295,0.00377178267807132,0.00464090642534576,352.218154215902,387.808277953457,1.25468420577989,1.27795748587316,0.00368856870226844,0.00472412040114863,348.8105891772,391.215842992159,1.25245591300501,1.28018577864805,0.00408361809367445,370.857246957763,1.36352082007804,2890.11656357631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00276377040779509,282.382128913338,1.54042252827677,3416.58936820291,7.53159626827255e-05,8.58156559955053,0.00580792361572747,0.002639875649182,0.00288766516640817,268.265453502078,296.498804324599,1.5308684939289,1.54997656262464,0.00261615112093695,0.00291138969465323,265.562260338219,299.201997488457,1.52903899798995,1.5518060585636,0.00450780967208857,289.628533834459,1.59761368556703,3412.52904768398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00428856347266513,310.599460275848,1.29523166512431,3034.97021626913,0.000319805458613546,12.8874671929107,0.00848349335125207,0.00376248349324584,0.00481464345208441,289.399576743509,331.799343808186,1.2812763185615,1.30918701168712,0.00366174477378258,0.00491538217154768,285.340024577743,335.858895973953,1.27860401815585,1.31185931209276,0.00396074419786107,271.634093288622,1.42393487215297,3032.07680436394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00422666049689549,353.603844336289,1.22364839346635,2822.40805678108,0.000259867037959958,10.1868746358454,0.00651207171328796,0.00379917921945136,0.00465414177433962,336.846435560323,370.361253112255,1.21293603549799,1.23436075143471,0.00371732110249398,0.00473599989129701,333.637570050032,373.570118622546,1.2108847329083,1.23641205402439,0.00420048885649976,312.096006252419,1.31979475491901,2820.11797533951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","e. coli","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00257574261300777,653.87602950355,0.657822372468794,1317.57852873175,8.29879812286603e-05,4.49568979333907,0.00195931664241576,0.00243922738388663,0.00271225784212892,646.480619793507,661.271439213593,0.65459929659202,0.661045448345568,0.0024130861697996,0.00273839905621595,645.064477508605,662.687581498495,0.653982111849659,0.661662633087929,0.00273095417366496,652.783782379168,0.713126253533913,1316.70229267302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00291615607398864,256.622501293376,1.5047540283065,3384.15793688319,8.38566874319058e-05,8.00726014461568,0.00568059930926592,0.00277821182316315,0.00305410032481412,243.450558355484,269.794444231269,1.49540944244276,1.51409861417024,0.0027517969666221,0.00308051518135517,240.92827140993,272.316731176823,1.49362005366034,1.51588800295266,0.00571057921279289,294.351070663754,1.57296393409842,3383.39067873258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.0044078901372142,380.350905874837,1.21218734228073,2772.39497877285,0.000305330399466189,10.9044489251827,0.00709700654940899,0.00390562163009232,0.00491015864433609,362.413087392911,398.288724356763,1.20051276650696,1.22386191805451,0.00380944255426047,0.00500633772016793,358.978185981479,401.723625768195,1.19827720944389,1.22609747511758,0.00416054320757734,378.688898218219,1.30973935580597,2771.30119517033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00319534048598155,269.474974687284,1.47231647342209,3339.47122669861,0.00010900498851454,8.51202986060805,0.00611051869088088,0.00301602727987513,0.00337465369208797,255.472685566584,283.477263807985,1.46226467017559,1.48236827666859,0.00298169070849305,0.00340899026347005,252.791396160493,286.158553214076,1.46033985678797,1.48429309005622,0.00467671033764925,283.241009106964,1.54759050646247,3338.82505520922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
